[2026-06-22T20:54:25.478Z] GET http://localhost:8899/images/gallery/ADA00534.jpg → 200 (1ms, 10657525B)
[2026-06-22T20:54:25.479Z] GET http://localhost:8899/images/gallery/ADA_8004.jpg → 200 (?ms, 1905947B)
[2026-06-22T20:54:25.479Z] GET http://localhost:8899/images/gallery/ADA01195.jpg → 200 (?ms, 5660405B)
[2026-06-22T20:54:25.479Z] GET http://localhost:8899/images/gallery/ADA01444.jpg → 200 (?ms, 7387500B)
[2026-06-22T20:54:25.479Z] GET http://localhost:8899/js/main.js?v=6 → 304 (?ms, ?B)
[2026-06-22T20:54:25.485Z] GET http://localhost:8899/images/hw-logo.png → 200 (?ms, 278177B)
[2026-06-22T20:54:25.486Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (?ms, ?B)
[2026-06-22T20:54:25.486Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (?ms, ?B)
[2026-06-22T20:54:25.486Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (?ms, ?B)
[2026-06-22T20:54:25.486Z] GET https://fonts.gstatic.com/s/mulish/v18/1Ptvg83HX_SGhgqk3wotYKNnBQ.woff2 → 200 (2ms, ?B)
[2026-06-22T20:59:39.936Z] GET http://localhost:8899/index.html → 200 (2ms, ?B)
[2026-06-22T20:59:39.942Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@500;600&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;1,400;1,500;1,600&family=Mulish:wght@300;400;500;600;700&display=swap → 200 (?ms, 23213B)
[2026-06-22T20:59:39.943Z] GET http://localhost:8899/css/style.css?v=6 → 200 (3ms, ?B)
[2026-06-22T20:59:39.943Z] GET http://localhost:8899/images/ADA01368.jpg → 200 (?ms, 762248B)
[2026-06-22T20:59:39.943Z] GET http://localhost:8899/images/haldi.jpg → 200 (?ms, 3599349B)
[2026-06-22T20:59:39.943Z] GET http://localhost:8899/images/ADA01428.jpg → 200 (?ms, 7476426B)
[2026-06-22T20:59:39.943Z] GET http://localhost:8899/images/ADA01554.jpg → 200 (?ms, 6950775B)
[2026-06-22T20:59:39.943Z] GET http://localhost:8899/images/about-mandap.jpg → 200 (?ms, 563774B)
[2026-06-22T20:59:39.944Z] GET http://localhost:8899/images/svc-planning.jpg → 200 (?ms, 182400B)
[2026-06-22T20:59:39.944Z] GET http://localhost:8899/images/svc-decor.jpg → 200 (?ms, 287073B)
[2026-06-22T20:59:39.944Z] GET http://localhost:8899/images/svc-entertainment.jpg → 200 (?ms, 145705B)
[2026-06-22T20:59:39.945Z] GET http://localhost:8899/images/gallery/ADA00755.jpg → 200 (?ms, 3989484B)
[2026-06-22T20:59:39.945Z] GET http://localhost:8899/images/gallery/ADA00534.jpg → 200 (?ms, ?B)
[2026-06-22T20:59:39.945Z] GET http://localhost:8899/images/gallery/ADA_8004.jpg → 200 (?ms, ?B)
[2026-06-22T20:59:39.945Z] GET http://localhost:8899/images/gallery/ADA01195.jpg → 200 (?ms, ?B)
[2026-06-22T20:59:39.945Z] GET http://localhost:8899/images/gallery/ADA01444.jpg → 200 (?ms, ?B)
[2026-06-22T20:59:39.946Z] GET http://localhost:8899/js/main.js?v=6 → 304 (?ms, ?B)
[2026-06-22T20:59:39.952Z] GET http://localhost:8899/images/hw-logo.png → 200 (?ms, ?B)
[2026-06-22T20:59:39.952Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (?ms, ?B)
[2026-06-22T20:59:39.952Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (?ms, ?B)
[2026-06-22T20:59:39.952Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (?ms, ?B)
[2026-06-22T20:59:39.952Z] GET https://fonts.gstatic.com/s/mulish/v18/1Ptvg83HX_SGhgqk3wotYKNnBQ.woff2 → 200 (?ms, ?B)
[2026-06-22T21:10:00.032Z] GET http://localhost:8765/index.html?v=1782162599 → 200 (3ms, 14855B)
[2026-06-22T21:10:00.038Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@500;600&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;1,400;1,500;1,600&family=Mulish:wght@300;400;500;600;700&display=swap → 200 (8ms, 23213B)
[2026-06-22T21:10:00.039Z] GET http://localhost:8765/css/style.css?v=6 → 200 (11ms, 36392B)
[2026-06-22T21:10:00.039Z] GET http://localhost:8765/images/ADA01368.jpg → 200 (12ms, 762248B)
[2026-06-22T21:10:00.039Z] GET http://localhost:8765/images/haldi.jpg → 200 (8ms, 3599349B)
[2026-06-22T21:10:00.039Z] GET http://localhost:8765/images/ADA01428.jpg → 200 (15ms, 7476426B)
[2026-06-22T21:10:00.039Z] GET http://localhost:8765/images/ADA01554.jpg → 200 (15ms, 6950775B)
[2026-06-22T21:10:00.039Z] GET http://localhost:8765/images/about-mandap.jpg → 200 (15ms, 563774B)
[2026-06-22T21:10:00.040Z] GET http://localhost:8765/images/svc-planning.jpg → 200 (14ms, 182400B)
[2026-06-22T21:10:00.040Z] GET http://localhost:8765/images/svc-decor.jpg → 200 (16ms, 287073B)
[2026-06-22T21:10:00.040Z] GET http://localhost:8765/images/svc-entertainment.jpg → 200 (17ms, 145705B)
